Network,Subnet,DHCP Assigned,Gateway,Routed VLAN,vSphere Internal VLANs,Notes,#VMS,,,,
VPN ,???,,,,,,,,,,
CY355,10.3.55.0/24,1-253,254,355,,,2,,{10.3.55},,
IT384,10.3.84.0/24,1-200,254,384,,LTC Harrison,16,,,,
CY392 Students,10.3.92.0/24,51-253,254,392,,,Keep,,,,
IT393,10.3.93.0/24,1-253,254,393,,,Keep,,,,
K8S Load Balancer,10.3.94.0/24,1-253,254,394,,COL Hamilton,Keep,,,,
IT460,10.4.60.0/24,1-253,254,460,,,Keep,,,,
CS483,10.4.83.0/24,51-253,254,483,2200-2299,CPT Ragsdale,"483,2200",,,,
CS484,10.4.84.0/24,10-253,254,484,,MAJ Hutton,2,,,,
Wireless,10.5.0.0/24,1-200,254,5,,"AY18-1, reservations for IT460 rPI's (201-212)",,,,,df.ip
EECSNet Users,10.7.0.0/16,1.1-253.254,254.25,,,,Keep,,,,
EECSNet Users,10.10.0.0/16,,,,,Broken into /24's for wired/wireless/VPN,,,,,
EECSNet Users (VPN),10.10.1.0/24,2-254,1,101,,,,,,,
EECSNet Users (Wireless),10.10.2.0/24,1-253,254,19,,,,,,,
EECSNet Users (Wired),10.10.3.0/24,1-253,254,103,,,,,,,
Power (Dr. James),10.9.0.0/24,1-253,254,109,,For Dr. James/Dr. St. Leger Power Lab/209 research,,,,,
TH212,10.12.0.0/24,1-253,254,12,,,Keep,,,,
CRC Research,10.13.0.0/16,Managed by CRC,255.25,13,,Used by machines in the CRC physical space,5,,,,
TH115/C3T,10.15.0.0/16,10.15.128.0/17,254,15,2300-2399,2300 assigned for C3T-Internal,18,,,,
A2F (C3T),10.15.3.0/24,N/A,254,20,,"For A2F, low security level, no internal EECSNet Access",13,,,,
CCDC,10.18.1.0/24,1-253,254,500,501-510,,9 ON 500,501-510 still used??,,,
SDN Research,10.19.82.0/24,1-100,254,"1,982",,MAJ Shafer (TH452),5,,,,
Storage Management,10.19.83.0/24,,254,"1,983",,Internal SAN Network,Keep,,,,
Management,10.19.84.0/24,100-199,254,"1,984",,Not Routed due to ASA security level,Keep,,,,
vCenter HA,10.19.85.0/24,,,"1,985",,Internal vCenter HA network,Keep,,,,
Data Center,10.19.89.0/24,1-99,254,"1,989",,,Keep,,,,
Core,10.19.90.0/24,N/A,254,"1,990",,,Keep,,,,
EECS Entry,10.19.91.0/24,1-253,254,"1,991",,,Keep,,,,
Spectrum External,"No IPs assigned, just a non-routed VLAN",,,"1,992",,Used to support the transition from ASA to FirePower,,,,,
Temp DataCenter (firepower),10.19.93.0/24,1-253,254,"1,993",,,,,,,
EE301,10.30.1.0/24,1-253,254,301,,,,,,,
K8S Workload,10.94.0.0/16,,254.25,94,,Used as local workloads for Kubernetes Cluster (Tanzu),,,,,
CS403,10.40.3.0/24,1-253,254,403,,,0,,,,
